Time stamp,Experiment time,Phase,Time in Phase,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,FPS target,FPS real,
30/01/2019 20:09:44.870,169865953,intervention,35464814,decay,35464814,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:44.971,170885376,intervention,36484237,decay,36484237,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:45.072,171894796,intervention,37493657,decay,37493657,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:45.173,172904206,intervention,38503067,decay,38503067,1,5,110,100,Q5,1,0,10,
30/01/2019 20:09:45.272,173903916,intervention,39502777,decay,39502777,1,5,110,100,Q5,1,0,10.00814,
30/01/2019 20:09:45.376,174923299,intervention,40522160,sustain low,522160,0,1,36.3,0,Q5,0,0,10,
30/01/2019 20:09:45.475,175932487,intervention,41531348,sustain low,1531348,0,1,36.3,0,Q5,0,0,10,
30/01/2019 20:09:45.589,177071836,intervention,42670697,sustain low,2670697,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:45.677,177951570,intervention,43550431,sustain low,3550431,0,1,36.3,0,Q1,0,0,11.37865,
30/01/2019 20:09:45.779,178967087,intervention,44565948,sustain low,4565948,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:45.880,179966318,intervention,45565179,sustain low,5565179,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:45.981,180985995,intervention,46584856,sustain low,6584856,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.083,182005150,intervention,47604011,sustain low,7604011,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.184,183014587,intervention,48613448,sustain low,8613448,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.284,184024005,intervention,49622866,sustain low,9622866,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.385,185033420,intervention,50632281,sustain low,10632281,0,1,36.3,0,Q1,0,0,10,
30/01/2019 20:09:46.486,186042847,intervention,51641708,sustain low,11641708,0,1,36.3,0,Q1,0,0,10,
