Time stamp,Ticks,Phase,Time in Phase,Trial Number,Trial Time,Period Type,Time in Period,Fidelity,Model,FOV,Saturation,Quality Level,Resolution,ThreadSleep,FPS realAudio Clip,
31/01/2019 17:41:50.833,636845533108334336,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.839,636845533108394206,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.845,636845533108453937,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.850,636845533108504162,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.855,636845533108554185,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.861,636845533108614108,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.867,636845533108674016,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.873,636845533108734150,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.879,636845533108793955,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.885,636845533108853922,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.891,636845533108913904,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.897,636845533108973729,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.902,636845533109023820,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.908,636845533109083782,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.914,636845533109143542,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
31/01/2019 17:41:50.920,636845533109203793,Preparation,0.8991111,0,0,none,0,999,999,999,999,PE,PE,999,10.08046,none,
